Attrition,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single
1,1,2,3,1,1,medical sector,accounting,accountant,2,2,0,0,0,1,1,1,1,1,1,2,0,2,2,2,2,2,0,0,1,2,1,1,1,0
0,1,1,3,1,1,medical sector,accounting,accountant,3,2,1,1,0,1,1,1,1,1,2,2,1,2,2,2,2,0,0,1,0,2,2,0,0,1
0,1,1,2,1,1,education sector,teaching,teacher,1,0,0,0,0,1,0,0,1,1,1,2,1,1,2,1,2,2,1,0,0,2,2,1,0,1
0,1,1,2,1,1,education sector,teaching,teacher,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,2,2,0,0,1,1,0,0,1
0,1,1,2,1,1,education sector,teaching,teacher,1,0,0,0,1,2,0,0,0,0,1,1,1,2,2,2,2,1,1,0,0,2,1,0,0,1
0,1,1,2,1,1,education sector,teaching,teacher,1,0,0,0,0,1,0,0,2,1,1,1,0,2,2,1,2,2,2,0,0,1,1,1,0,1
1,1,2,2,1,1,education sector,teaching,teacher,1,0,0,0,1,2,0,0,1,1,1,2,1,2,2,1,1,2,2,0,0,2,2,0,1,0
0,1,2,2,2,2,education sector,teaching,teacher,3,0,0,0,0,1,1,1,3,1,1,2,1,3,2,2,2,1,1,1,0,2,3,1,1,0
1,1,2,3,2,1,education sector,teaching,teacher,1,0,0,1,0,1,0,0,1,1,1,1,1,3,2,2,1,2,2,0,0,2,2,0,1,0
1,1,1,2,1,1,communications and it sector,relations,relationships specialist,1,1,1,1,1,3,1,1,1,1,3,3,1,3,1,3,1,2,2,1,1,3,3,1,1,0
0,1,2,1,1,1,tourism sector,hr,manger assistant,2,1,0,1,1,3,1,1,1,1,1,3,1,3,3,1,3,1,1,1,0,3,3,0,0,1
1,1,2,2,2,2,education sector,administration,administrative manager,1,0,0,0,0,1,1,0,1,1,1,3,1,2,2,1,3,0,0,1,0,3,3,1,1,0
0,1,3,2,3,3,education sector,administration,manger assistant,2,0,0,0,0,1,0,0,2,1,1,1,1,2,2,1,1,0,1,1,0,2,1,0,1,0
0,1,2,2,3,3,education sector,teaching,teacher,3,1,0,0,0,1,1,0,2,1,1,2,1,3,2,2,2,2,2,1,0,2,2,0,1,0
0,1,3,2,4,4,education sector,teaching,teacher,3,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,2,1,0,1,0,2,2,0,1,0
0,1,3,2,5,5,education sector,teaching,teacher,2,1,0,0,0,2,1,1,3,1,1,3,1,3,3,1,3,1,1,1,0,3,3,0,1,0
0,1,3,2,3,3,education sector,teaching,teacher,3,0,0,0,0,2,1,1,3,1,1,2,1,2,2,1,2,1,1,1,0,2,3,0,1,0
0,1,2,2,2,2,education sector,teaching,teacher,2,1,0,0,0,2,0,0,2,0,1,1,0,1,3,2,2,0,0,0,0,1,1,0,1,0
0,1,2,2,2,2,education sector,teaching,teacher,3,1,0,0,0,1,1,1,1,0,1,1,0,2,3,3,2,2,2,1,0,1,2,1,1,0
0,1,2,2,3,3,education sector,teaching,teacher,3,1,0,0,0,1,1,1,3,1,1,1,1,2,2,1,3,0,0,1,0,2,3,0,1,0
0,1,3,2,4,4,education sector,teaching,teacher,3,0,0,0,0,1,1,0,2,1,1,2,1,2,2,1,2,1,1,1,0,2,2,0,1,0
0,1,3,2,2,2,education sector,administration,manger assistant,2,0,0,0,0,1,1,1,2,1,1,2,1,2,2,1,2,1,0,1,0,2,2,0,1,0
0,1,3,2,5,5,education sector,teaching,teacher,2,0,0,0,0,1,1,1,3,1,1,2,1,3,3,1,3,2,2,1,1,3,3,0,1,0
0,1,3,2,3,3,education sector,teaching,teacher,3,0,0,0,0,1,1,0,2,1,2,2,1,2,2,1,3,1,1,1,0,2,2,0,0,1
0,1,3,2,4,4,education sector,teaching,teacher,3,1,0,0,0,1,1,0,3,1,1,1,1,3,2,2,2,1,1,1,0,3,3,0,1,0
0,1,2,1,3,3,education sector,administration,manger assistant,2,0,0,0,0,1,1,0,0,1,1,2,1,2,3,1,3,1,1,1,0,2,2,0,1,0
0,1,3,2,3,3,education sector,teaching,teacher,3,1,0,0,0,1,1,1,3,1,1,2,1,3,3,1,2,1,1,1,0,2,3,0,1,0
0,1,4,1,7,7,education sector,teaching,teacher,2,0,0,0,0,1,1,1,3,1,1,3,1,3,3,1,3,0,1,1,0,3,3,1,1,0
0,1,3,2,4,4,education sector,teaching,teacher,2,0,0,0,0,1,0,0,3,0,1,1,1,3,3,2,2,2,2,1,1,1,2,0,1,0
0,0,2,1,3,3,financial sector,administration,administrative manager,2,0,1,0,0,1,1,1,0,0,2,2,1,3,3,1,2,0,0,1,0,3,3,0,1,0
1,1,3,2,4,3,education sector,teaching,teacher,3,1,0,0,0,1,1,0,1,1,1,1,1,2,2,2,2,2,0,1,1,2,2,0,1,0
0,1,2,2,4,4,education sector,teaching,teacher,3,1,0,0,0,1,1,1,3,1,2,2,0,2,2,2,2,2,2,1,0,2,3,0,1,0
0,1,3,2,5,5,education sector,teaching,teacher,2,0,0,0,0,1,1,0,3,1,1,2,1,3,3,2,2,2,2,1,0,3,3,0,1,0
0,1,1,3,1,1,financial sector,processes,project manager,1,0,0,0,0,1,0,0,1,0,1,2,1,2,2,2,2,1,0,0,0,2,2,0,0,1
1,0,2,2,1,1,financial sector,banking operations,banking operations,2,2,0,1,0,1,1,0,1,1,1,2,1,2,1,1,3,1,0,0,0,2,1,1,1,0
1,1,1,3,2,1,education sector,administration,coordinator,1,1,0,0,1,2,0,0,1,0,1,1,0,3,1,3,1,2,2,0,0,2,1,1,1,0
0,1,1,3,1,1,financial sector,administration,administrative manager,1,0,0,0,0,1,0,0,1,1,1,2,0,2,2,2,2,2,1,1,0,2,2,0,0,1
0,1,2,2,1,1,communications and it sector,customers service,customer services representative,1,0,0,0,0,1,0,0,0,0,1,2,1,2,2,2,2,1,1,0,0,1,1,1,1,0
0,1,2,2,3,3,education sector,teaching,lecturer,3,1,0,0,0,1,1,1,3,1,1,1,0,3,2,2,2,1,1,0,0,2,2,0,1,0
0,1,2,2,3,3,education sector,teaching,teacher,3,0,0,0,0,1,1,1,2,1,1,1,0,2,1,1,2,2,2,0,0,2,2,0,1,0
1,1,1,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,0,0,1,2,1,1,0
0,1,1,4,2,2,education sector,teaching,lecturer,2,0,1,0,0,2,0,1,1,1,2,3,1,3,2,3,2,1,1,1,0,2,2,0,1,0
0,1,1,2,2,2,education sector,teaching,teacher,2,1,1,0,1,2,1,1,1,1,3,2,1,3,2,3,2,2,0,1,0,3,3,0,1,0
0,0,2,1,2,2,financial sector,accounting,scribe,1,0,0,1,1,1,0,0,1,1,1,2,1,2,2,1,2,0,2,1,0,3,2,1,1,0
0,1,1,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,0,1,0,0,1,1,1,1,0,2,1,1,1,2,2,0,0,1,2,0,0,1
0,1,2,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,1,1,0,0,3,1,1,2,0,3,1,3,2,1,2,0,0,2,1,1,1,0
1,1,1,2,2,1,education sector,sales,sales executive,2,2,1,0,0,2,0,0,1,1,1,2,0,2,2,2,2,0,2,0,1,2,1,1,1,0
0,1,1,2,2,2,financial sector,customers service,customer services representative,2,1,1,1,0,1,0,0,0,0,2,2,0,2,3,1,1,2,2,0,0,1,2,0,0,1
0,1,1,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,0,1,1,0,1,1,1,2,0,2,2,3,2,2,2,0,0,1,1,0,1,0
0,1,2,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,0,1,0,0,1,1,2,2,0,3,2,1,2,2,2,0,0,1,2,0,1,0
0,0,2,2,4,4,financial sector,administration,administrative manager,3,1,1,1,0,3,0,0,3,1,2,3,1,3,3,1,3,0,2,1,0,3,2,1,1,0
1,0,1,3,2,1,financial sector,sales,sales representative,1,0,1,1,1,2,0,0,2,1,3,1,0,2,1,2,1,2,2,0,0,2,1,0,1,0
1,0,2,2,2,1,financial sector,banking operations,banking operations,2,2,1,0,1,1,0,0,1,0,1,1,0,1,1,3,2,2,1,0,0,1,1,1,1,0
0,1,1,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,0,1,1,0,2,1,1,2,1,1,2,2,2,1,2,0,0,2,2,0,0,1
0,0,2,2,1,1,financial sector,banking operations,banking operations,2,2,1,0,0,1,0,0,1,0,1,1,0,1,1,2,1,2,2,0,0,1,1,0,0,1
0,0,3,2,1,1,financial sector,banking operations,banking operations,2,2,1,1,0,1,0,0,1,1,2,3,0,3,3,1,3,0,2,1,0,3,3,0,1,0
1,1,1,2,2,2,financial sector,sales,sales executive,2,1,1,0,0,2,0,0,1,0,1,1,0,3,1,1,1,2,2,0,0,2,1,0,1,0
0,0,3,2,4,4,financial sector,customers service,customer services representative,2,2,1,1,0,1,0,0,3,1,1,3,0,3,3,2,2,2,2,0,0,2,2,0,1,0
0,0,1,2,2,2,financial sector,sales,sales executive,3,4,1,1,0,1,1,0,1,1,2,2,1,3,3,1,2,2,2,1,0,2,3,0,0,1
0,1,2,2,2,2,financial sector,sales,sales executive,2,2,1,0,0,1,0,0,0,0,2,1,0,1,1,2,1,2,2,1,1,1,1,0,0,1
0,0,2,1,2,2,financial sector,sales,salesman,2,2,1,0,0,1,0,1,0,0,1,1,1,2,3,1,3,2,2,0,0,3,3,0,1,0
0,0,1,2,1,1,financial sector,sales,consultant,2,2,1,1,1,3,0,0,1,1,1,1,0,3,1,2,1,2,2,0,0,1,1,0,0,1
1,0,2,1,3,1,financial sector,customers service,customer services representative,2,2,1,0,0,2,0,0,1,1,2,2,1,1,1,1,1,2,2,0,0,3,3,0,1,0
1,0,2,2,3,1,tourism sector,safety & security,security and safety specialist,1,0,0,1,0,1,0,0,0,0,1,1,0,3,1,2,2,2,2,0,0,1,1,0,1,0
0,1,1,2,1,1,financial sector,sales,salesman,2,1,1,1,0,1,0,0,2,1,3,1,0,2,2,2,1,2,2,0,1,1,1,1,0,1
1,0,2,1,3,2,financial sector,sales,consultant,2,3,1,0,0,1,0,0,1,0,1,3,1,1,2,1,2,2,2,0,0,3,1,0,1,0
1,0,1,1,2,2,financial sector,accounting,admin accountant,2,1,1,1,1,3,0,1,2,1,1,2,0,2,2,1,2,0,1,0,0,2,2,1,1,0
1,0,2,1,2,1,medical sector,technical support,it specialist,2,2,1,1,0,1,0,0,0,0,2,2,0,1,2,2,2,1,2,1,0,2,1,0,1,0
