Attrition,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Sector_communications and it sector,Sector_economic sector,Sector_education sector,Sector_energy sector,Sector_engineering consulting companies,"Sector_environment, water, and agriculture sector",Sector_financial sector,Sector_food production sector,Sector_industry sector,Sector_law firm,Sector_media sector,Sector_medical sector,Sector_restaurant sector,Sector_tourism sector,Sector_transport sector,Department_accounting,Department_administration,Department_banking operations,Department_customers service,Department_engineering,Department_hr,Department_information technology,Department_legal affairs,Department_marketing,Department_medical service,Department_patient affairs,Department_processes,Department_production,Department_relations,Department_safety & security,Department_sales,Department_studies and design,Department_teaching,Department_technical support,Department_training,Department_treasury,JobTitle_accountant,JobTitle_admin accountant,JobTitle_administrative manager,JobTitle_after sales service manager,JobTitle_application specialist,JobTitle_banking operations,JobTitle_business partners,JobTitle_chemical engineer,JobTitle_civil engineer,JobTitle_consultant,JobTitle_coordinator,JobTitle_customer services representative,JobTitle_cybersecurity director,JobTitle_data entry operator,JobTitle_dentist,JobTitle_doctor,JobTitle_driver,JobTitle_electrical engineer,JobTitle_engineer,JobTitle_financial analyst,JobTitle_financial manager,JobTitle_graphic designer,JobTitle_head of treasury,JobTitle_hiring specialist,JobTitle_hr specialist,JobTitle_insurance officer,JobTitle_it specialist,JobTitle_lab specialist,JobTitle_lawyer,JobTitle_lecturer,JobTitle_manger assistant,JobTitle_marketing specialist,JobTitle_mechanical engineer,JobTitle_nurse,JobTitle_nutrition specialist,JobTitle_operation and maintenance manager (acting),JobTitle_operations supervisor,JobTitle_passenger services assistant,JobTitle_pharmacist,JobTitle_production supervisor,JobTitle_project engineer,JobTitle_project manager,JobTitle_purchase specialist,JobTitle_quality controller,JobTitle_quality specialist,JobTitle_radiographer,JobTitle_receptionist,JobTitle_relations manager,JobTitle_relationships specialist,JobTitle_reports manager,JobTitle_sales executive,JobTitle_sales representative,JobTitle_salesman,JobTitle_scribe,JobTitle_secretariat,JobTitle_security and safety specialist,JobTitle_social worker,JobTitle_supervisor,JobTitle_teacher,JobTitle_trainer,JobTitle_treasury agent,JobTitle_warehouse officer
1,1,2,3,1,1,2,2,0,0,0,1,1,1,1,1,1,2,0,2,2,2,2,2,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,1,1,3,2,1,1,0,1,1,1,1,1,2,2,1,2,2,2,2,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,1,1,1,0,0,0,0,1,0,0,1,1,1,2,1,1,2,1,2,2,1,0,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,2,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2,1,1,1,0,0,0,1,2,0,0,0,0,1,1,1,2,2,2,2,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2,1,1,1,0,0,0,0,1,0,0,2,1,1,1,0,2,2,1,2,2,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,2,1,1,1,0,0,0,1,2,0,0,1,1,1,2,1,2,2,1,1,2,2,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,2,2,2,3,0,0,0,0,1,1,1,3,1,1,2,1,3,2,2,2,1,1,1,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,3,2,1,1,0,0,1,0,1,0,0,1,1,1,1,1,3,2,2,1,2,2,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,3,1,3,1,2,2,1,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,1,1,2,1,0,1,1,3,1,1,1,1,1,3,1,3,3,1,3,1,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,2,2,1,0,0,0,0,1,1,0,1,1,1,3,1,2,2,1,3,0,0,1,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,3,3,2,0,0,0,0,1,0,0,2,1,1,1,1,2,2,1,1,0,1,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,3,3,3,1,0,0,0,1,1,0,2,1,1,2,1,3,2,2,2,2,2,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,2,4,4,3,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,2,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
