Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Salary_per_Experience,Opportunity_Training_Score,Experience_Gap_LastOrg
0,2,2,2,1,0.49825991002461595,0.5693277310924371,0.7533796127146511,3,2,1,1,0,1,1,1,1,1,1,3,0,1,2,1,1,2,1,0,1,2,2,1,1,0,1.0,1,1
0,1,2,2,2,0.30045460807273733,0.5102415966386555,0.5234093637454983,1,0,1,0,0,1,1,1,2,1,2,3,1,2,2,2,2,0,0,0,1,2,2,1,1,0,0.3333333333333333,2,0
1,1,2,1,1,0.3584433773509404,0.4660791145726583,0.2838468720821662,2,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,2,2,0,1,1,1,0,1,0,1.0,0,0
0,2,1,2,2,0.3584433773509404,0.5197265346816693,0.5201885632301702,3,2,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,2,0,0,3,1,1,0,1,1.0,0,0
0,1,2,1,1,0.4986849701712746,0.5197265346816693,0.37221947602570443,2,2,1,1,1,3,0,0,1,1,1,1,0,3,1,2,1,2,2,0,0,1,1,0,0,1,1.0,0,0
1,2,2,2,2,0.3584433773509404,0.2690943043884221,0.23581124757595348,1,0,0,0,0,2,0,0,0,0,2,1,0,1,1,3,1,2,0,1,1,3,3,1,0,1,0.3333333333333333,0,0
0,2,2,1,1,0.30045460807273733,0.5567968363816115,0.493109243697479,1,0,1,0,0,1,0,0,0,0,1,1,0,3,2,1,2,1,1,0,0,2,2,0,0,1,0.5,0,0
1,1,3,1,1,0.4986849701712746,0.3948079231692677,0.3559969442322384,1,0,0,0,0,1,0,0,1,1,1,2,0,2,2,2,2,2,1,1,0,2,2,0,0,1,0.5,0,0
0,2,2,2,2,0.4802273850716758,0.5102415966386555,0.5234093637454983,2,3,1,1,0,1,1,1,0,0,3,3,1,2,3,3,3,0,0,1,0,2,2,1,1,0,0.6666666666666666,0,0
0,1,1,1,1,0.49825991002461595,0.5567968363816115,0.3805522208883554,1,2,0,0,0,1,0,0,0,0,1,3,1,2,2,1,2,1,1,0,0,2,2,0,0,1,0.5,0,0
