Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single
0,2,2,2,1,12,14,23,3,2,1,1,0,1,1,1,1,1,1,3,0,1,2,1,1,2,1,0,1,2,2,1,1,0
0,1,2,2,2,6,4,47,1,0,1,0,0,1,1,1,2,1,2,3,1,2,2,2,2,0,0,0,1,2,2,1,1,0
1,1,2,1,1,3,13,46,2,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,2,2,0,1,1,1,0,1,0
0,2,1,2,2,3,6,51,3,2,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,2,0,0,3,1,1,0,1
0,1,2,1,1,11,6,9,2,2,1,1,1,3,0,0,1,1,1,1,0,3,1,2,1,2,2,0,0,1,1,0,0,1
1,2,2,2,2,3,19,33,1,0,0,0,0,2,0,0,0,0,2,1,0,1,1,3,1,2,0,1,1,3,3,1,0,1
0,2,2,1,1,6,2,36,1,0,1,0,0,1,0,0,0,0,1,1,0,3,2,1,2,1,1,0,0,2,2,0,0,1
1,1,3,1,1,11,1,2,1,0,0,0,0,1,0,0,1,1,1,2,0,2,2,2,2,2,1,1,0,2,2,0,0,1
0,2,2,2,2,5,4,47,2,3,1,1,0,1,1,1,0,0,3,3,1,2,3,3,3,0,0,1,0,2,2,1,1,0
0,1,1,1,1,12,2,16,1,2,0,0,0,1,0,0,0,0,1,3,1,2,2,1,2,1,1,0,0,2,2,0,0,1
1,2,3,2,2,3,19,15,5,2,1,0,0,2,0,0,1,1,2,3,0,1,3,2,1,2,2,0,0,3,2,0,0,1
1,2,1,1,1,12,13,46,1,0,1,0,0,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,0,2,2,0,1,0
0,2,2,3,1,5,5,55,1,0,0,1,0,1,0,0,0,0,1,1,0,3,1,2,2,2,2,0,0,1,1,0,1,0
1,3,2,1,1,1,17,31,1,0,0,0,1,2,0,0,0,0,1,1,0,1,2,1,2,1,2,0,0,1,1,0,1,0
1,1,2,3,3,3,9,26,1,0,1,0,0,3,1,1,1,0,1,2,1,2,2,1,2,1,1,1,0,2,2,0,0,1
1,2,2,2,2,1,1,30,2,1,1,0,0,1,0,0,2,1,1,2,1,1,1,1,2,0,1,0,0,2,2,0,1,0
1,1,2,1,1,3,13,46,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,1,0,1,0,0,2,1,0,0,1
0,2,2,2,1,6,2,36,2,0,1,1,0,1,0,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,1,1,0
0,2,2,3,3,9,4,48,2,2,1,0,1,3,1,1,2,1,2,2,0,2,2,3,2,2,1,0,0,2,2,1,1,0
0,2,2,2,1,7,9,18,2,1,1,0,0,1,0,0,0,0,1,1,0,1,2,3,2,2,2,0,0,1,1,0,1,0
1,1,2,1,1,0,13,11,2,1,1,0,0,1,0,0,2,1,1,2,0,2,2,2,2,0,0,1,1,2,2,1,0,1
1,1,3,1,1,3,19,33,1,3,1,1,1,3,1,1,3,1,2,3,1,2,2,1,2,1,1,1,0,1,3,0,1,0
1,1,3,1,1,7,1,30,1,0,1,0,0,1,0,0,3,1,1,2,1,2,2,2,2,1,1,1,0,2,2,1,1,0
1,2,2,1,1,7,8,58,1,0,0,0,1,2,0,0,1,1,1,2,1,2,2,1,1,2,2,0,0,2,2,0,1,0
1,3,2,2,2,3,19,33,1,1,1,0,1,3,0,0,1,1,1,2,1,3,2,1,3,1,0,1,0,3,2,0,1,0
1,2,1,1,1,5,14,30,2,1,0,1,1,3,1,1,1,1,1,3,1,3,3,1,3,1,1,1,0,3,3,0,0,1
1,2,2,2,2,5,0,0,1,2,1,0,0,1,0,0,0,0,1,1,0,1,1,3,2,0,2,0,0,1,1,1,0,1
1,1,2,1,1,7,8,59,1,0,0,0,0,1,0,0,0,0,1,1,1,3,2,1,3,0,0,1,0,3,2,1,1,0
0,1,2,2,2,12,2,36,2,2,1,0,1,2,0,0,0,0,1,2,1,3,1,2,2,2,2,0,0,1,1,1,1,0
0,1,1,2,2,6,15,26,1,2,1,1,1,3,1,1,2,1,2,2,1,3,2,2,3,0,0,1,0,2,2,0,0,1
1,1,2,1,1,3,13,46,2,0,0,0,0,1,1,1,0,0,1,2,1,3,2,2,2,0,0,0,0,1,1,0,0,1
1,3,3,5,5,8,14,24,3,1,1,1,0,1,1,1,3,1,2,2,1,3,2,2,2,0,0,1,0,2,3,1,0,1
1,1,2,2,2,7,8,58,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1,1,0,0,1,1,0,0,1
1,2,2,1,1,3,19,33,1,3,0,1,1,1,1,1,3,1,1,3,1,3,2,2,2,1,1,1,0,2,2,0,1,0
1,3,1,1,1,12,6,52,1,0,1,0,1,3,0,0,0,0,1,2,1,2,2,1,2,1,1,0,0,3,2,0,1,0
1,1,2,1,1,13,14,24,2,1,1,0,1,2,1,1,0,0,1,1,1,3,1,2,2,1,2,0,0,1,2,0,0,1
1,1,2,2,2,7,8,58,2,0,0,0,0,1,1,1,0,0,1,3,1,2,3,2,3,1,1,1,0,2,2,0,1,0
1,1,2,2,1,3,19,45,1,0,0,0,1,3,0,0,0,0,1,1,0,1,1,2,1,2,1,0,0,1,1,1,0,1
0,2,2,2,2,0,6,50,2,2,1,0,1,2,0,0,2,0,1,2,0,2,2,2,1,0,0,0,0,2,2,1,1,0
1,2,3,1,1,7,1,30,1,0,1,0,0,1,0,0,0,0,1,2,0,3,2,3,2,2,1,0,0,1,3,0,1,0
1,1,1,2,2,12,6,57,2,3,1,1,1,3,0,0,3,1,1,2,1,2,2,2,1,1,1,0,0,3,2,0,0,0
0,3,1,3,2,11,14,10,2,0,0,0,0,1,0,0,0,0,1,2,1,2,2,2,2,1,1,0,0,1,1,1,1,0
0,1,2,2,2,7,8,58,1,1,1,1,0,1,1,1,2,1,1,3,1,3,2,2,2,1,1,1,0,2,2,1,0,1
0,1,2,2,1,3,4,48,2,1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,1,2,2,1,1,3,2,1,0,1
0,1,2,1,1,3,19,34,2,0,0,0,1,3,0,0,0,0,1,1,0,2,1,2,1,1,2,0,0,1,1,0,0,1
0,1,1,1,1,3,1,30,1,0,1,0,1,3,0,0,2,1,1,2,1,2,2,1,1,0,1,0,0,2,2,0,0,1
1,2,1,1,1,3,19,33,1,0,1,0,1,3,1,0,1,1,1,2,1,2,2,1,3,0,0,1,0,3,3,1,1,0
1,3,2,3,3,7,8,58,3,0,0,0,0,1,1,0,2,1,2,2,1,2,2,1,3,1,1,1,0,2,2,0,0,1
0,1,2,5,5,7,8,58,1,0,1,0,0,1,0,0,1,1,1,2,0,3,3,2,2,2,2,0,0,2,2,0,1,0
1,2,2,1,1,3,19,33,1,0,1,1,1,3,1,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,1,1,0
0,1,2,2,1,12,9,18,2,2,1,0,0,2,0,0,0,0,1,1,0,1,1,1,2,0,1,0,0,1,2,1,0,1
0,1,1,1,1,5,13,11,2,0,1,0,0,1,1,1,2,1,2,3,1,3,2,2,2,1,1,0,0,3,2,1,0,1
0,3,2,1,1,11,6,52,2,2,1,1,0,1,1,1,1,1,2,3,1,3,2,2,3,0,0,1,0,3,3,0,1,0
0,2,3,2,1,0,6,50,2,1,1,1,0,1,0,1,2,1,1,2,1,2,2,2,2,0,1,0,0,2,2,1,1,0
1,1,2,2,1,3,17,31,1,0,1,1,0,1,0,0,0,0,1,1,1,2,2,1,2,2,2,1,0,2,2,1,0,1
1,2,1,2,2,3,13,11,2,2,1,0,0,1,0,0,0,0,1,1,0,1,1,3,1,1,2,0,1,1,1,0,1,0
0,1,2,5,5,7,1,2,4,1,0,0,0,1,1,0,1,1,1,1,1,3,3,1,3,1,2,1,0,2,3,0,1,0
1,2,2,2,1,7,1,30,2,1,1,0,1,2,0,0,0,0,1,1,0,2,1,3,1,2,2,0,0,2,2,1,0,1
0,2,4,2,2,7,8,29,3,1,1,1,1,3,1,1,1,1,2,2,1,3,2,2,2,1,0,1,0,2,3,0,1,0
0,1,3,1,1,14,16,28,2,0,1,0,0,2,1,1,0,1,2,2,1,2,2,2,2,0,1,1,0,2,2,0,0,1
1,1,2,1,1,13,15,4,2,2,1,0,0,1,0,0,0,0,1,2,1,3,3,2,1,2,2,0,0,2,2,0,0,1
1,2,1,1,1,3,14,24,1,0,0,0,0,1,1,1,0,0,1,1,1,2,2,2,3,0,1,1,0,2,2,0,1,0
